title,price
It's Only the Himalayas,£45.17
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
Olio,£23.88
Rip it Up and Start Again,£35.02
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
Libertarianism for Beginners,£51.33
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
The Dirty Little Secrets of Getting Your Dream Job,£33.34
Set Me Free,£17.46
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
Shakespeare's Sonnets,£20.66
The Requiem Red,£22.65
The Black Maria,£52.15
Sharp Objects,£47.82
In Her Wake,£12.84
A Light in the Attic,£51.77
You can't bury them all: Poems,£33.63
Soumission,£50.10
Tipping the Velvet,£53.74
Sapiens: A Brief History of Humankind,£54.23
The Bear and the Piano,£36.89
"In a Dark, Dark Wood",£19.63
The Elephant Tree,£23.82
Behind Closed Doors,£52.22
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
Sophie's World,£15.94
Penny Maybe,£33.29
Maude (1883-1993):She Grew Up with the country,£18.02
The Four Agreements: A Practical Guide to Personal Freedom,£17.66
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
Black Dust,£34.53
Wall and Piece,£44.18
Birdsong: A Story in Pictures,£54.64
Chase Me (Paris Nights #2),£25.27
Aladdin and His Wonderful Lamp,£53.13
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83
The Selfish Gene,£29.45
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03
Peak: Secrets from the New Science of Expertise,£16.28
The Natural History of Us (The Fine Art of Pretending #2),£45.22
Seven Brief Lessons on Physics,£30.60
Life,£31.58
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66
The Bhagavad Gita,£57.49
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62
God: The Most Unpleasant Character in All Fiction,£30.03
The Book of Mormon,£24.57
No One Here Gets Out Alive,£20.02
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40
Leave This Song Behind: Teen Poetry at Its Best,£51.17
Twenty Love Poems and a Song of Despair,£30.95
Shtum,£55.84
The Crossover,£38.77
Booked,£17.49
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85
The Hook Up (Game On #1),£36.29
Shameless,£58.35
Off Sides (Off #1),£39.45
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40
The Mistake (Off-Campus #2),£43.29
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83
The Lonely Ones,£43.59
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05
Love Is a Mix Tape (Music #1),£18.03
The Wild Robot,£56.07
The Thing About Jellyfish,£48.77
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97
The Day the Crayons Came Home (Crayons),£26.33
Please Kill Me: The Uncensored Oral History of Punk,£31.19
The First Hostage (J.B. Collins #2),£25.85
The Time Keeper,£27.88
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21
Take Me with You,£45.21
Finders Keepers (Bill Hodges Trilogy #2),£53.53
The Stranger,£17.44
Kierkegaard: A Christian Missionary to Christians,£47.13
The Testament of Mary,£52.67
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90
In the Country We Love: My Family Divided,£22.00
Join,£35.67
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21
The Power of Now: A Guide to Spiritual Enlightenment,£43.54
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",£52.87
The Genius of Birds,£17.24
So You've Been Publicly Shamed,£12.23
The Whale,£35.96
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49
Nap-a-Roo,£25.08
Tuesday Nights in 1980,£21.04
Maybe Something Beautiful: How Art Transformed a Neighborhood,£22.54
Masks and Shadows,£56.40
The Vacationers,£42.15
The Regional Office Is Under Attack!,£51.36
Raymie Nightingale,£34.41
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02
Playing from the Heart,£32.38
Burning,£28.81
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92
Camp Midnight,£17.08
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72
Bossypants,£49.46
Algorithms to Live By: The Computer Science of Human Decisions,£30.81
Once Was a Time,£18.28
Crown of Midnight (Throne of Glass #2),£43.29
Luis Paints the World,£53.95
Little Red,£13.47
Twenty Yawns,£22.08
Rain Fish,£23.57
Walt Disney's Alice in Wonderland,£12.96
The Edge of Reason (Bridget Jones #2),£19.18
A Brush of Wings (Angels Walking #3),£55.51
America's War for the Greater Middle East: A Military History,£51.22
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20
Bridget Jones's Diary (Bridget Jones #1),£29.82
Danganronpa Volume 1,£51.99
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35
Rook,£37.86
Thirteen Reasons Why,£52.72
The Wedding Dress,£24.12
Tracing Numbers on a Train,£41.60
